Ward_code,Ward,Borough,Life_Expectancy,Childhood_Obesity,Incapacity_Benefit,Unemployment_Rate,Crime_Rate,Deliberate_Fires,GCSE_points,Unauthorised_Absence,Dependent_children,Public_Transport_Access,Homes_with_access,Wellbeing_score
E09000001,City of London,City of London,86.39368535,28.81,0.806451613,2.23486986,13.97743526,0.25,360.4,0.7,10,7.862302333,-6.478752314,7.7
E05000026,Abbey,Barking and Dagenham,81.99842823,23.21428571,1.5625,8.905805145,120.7855752,1.15942029,333.9483051,1.356022267,25.38461538,5.989364918,-0.88953823,7.8
E05000027,Alibon,Barking and Dagenham,78.98968687,25.56390977,3.208955224,10.20254184,93.15042424,0.663507109,322.5468354,1.489165819,32.1875,3.145890095,-1.790968136,7.6
E05000028,Becontree,Barking and Dagenham,79.22960398,28.35164835,2.327044025,9.930396226,104.6627224,0.411522634,319.2079096,1.465375749,31.52777778,2.8717665,-5.469666137,7.6
E05000029,Chadwell Heath,Barking and Dagenham,80.76129465,28.78338279,2.64,8.591036898,83.68965427,1.853658537,330.437069,1.604042289,28.44827586,2.260909461,1.977718294,7.6
E05000030,Eastbrook,Barking and Dagenham,79.21238407,24.10071942,1.942446043,8.293167848,61.60128598,1.121495327,350.1363057,1.20807783,23.51851852,2.30571916,5.687552307,7.6
E05000031,Eastbury,Barking and Dagenham,82.04757263,24.25531915,2.434210526,10.19981548,88.30656821,1.355932203,339.5980519,1.445579848,27.91666667,2.731589089,-8.237511952,7.8
E05000032,Gascoigne,Barking and Dagenham,78.16969931,26.13168724,2.840909091,12.1872664,109.5749042,0.706713781,340.0700787,1.317598533,26.8,3.232882536,-10.01255114,7.8
E05000033,Goresbrook,Barking and Dagenham,80.25502754,25.82056893,2.638888889,9.477788652,97.82412239,1.052631579,344.9782609,1.155555556,31.15942029,2.455199663,4.827420368,7.8
E05000034,Heath,Barking and Dagenham,78.50248431,25.40792541,3.088235294,11.85128398,77.10677462,1,338.1062992,1.120479416,32.68656716,2.652043746,0.440582705,7.6
E05000035,Longbridge,Barking and Dagenham,82.23963866,22.55125285,1.419354839,5.344185435,73.23927263,0.680851064,353.8994118,0.849229075,14.6031746,3.060909897,-2.189863473,7.8
E05000036,Mayesbrook,Barking and Dagenham,80.02405509,24.87804878,3.076923077,9.280378056,94.7303521,1.339712919,339.251145,1.326969365,28.30769231,2.49590147,2.425642336,7.6
E05000037,Parsloes,Barking and Dagenham,79.89056166,23.27586207,3.174603175,9.462448025,80.69377043,1.2,339.5224638,1.179408138,28.66666667,2.695405293,-1.711715661,7.6
E05000038,River,Barking and Dagenham,76.54312922,31.1827957,2.397260274,8.45512667,62.89896832,0.695652174,324.3459459,1.263565081,25.91549296,3.009724388,2.922809818,7.6
E05000039,Thames,Barking and Dagenham,80.0532621,24.88687783,1.666666667,8.726313399,74.48577116,1.744966443,315.8865772,1.232495345,19.42857143,2.133878387,-6.327715908,7.8
E05000040,Valence,Barking and Dagenham,78.8469126,21.46596859,3.149606299,9.277154125,83.82385034,0.891089109,335.2018182,1.576129032,30,3.221850725,-2.382206911,7.6
E05000041,Village,Barking and Dagenham,78.4505922,27.82152231,2.642857143,11.86847748,105.6537901,1.00456621,316.151497,1.452914022,29.21875,2.686579749,7.870083432,7.6
